id:ID(Post)|imageFile:STRING|creationDate:LONG|locationIP:STRING|browserUsed:STRING|language:STRING|content:STRING|length:INT
0||20110825185927570|49.246.218.237|Firefox|uz|About Rupert Murdoch, t newer electronic publishing technoAbout George Frideric Handel,  concertos. Handel was born in 1685,About Kurt Vonne|140
1||20110825185927570|119.235.7.103|Firefox|uz|About Rupert Murdoch, alised US citizen iAbout Napoleon, tinuation of the waAbout Ferdinand II of Aragon, (1|108
2||20110825185927570|119.235.7.103|Firefox|uz|About Rupert Murdoch, 50s and '60s, he acquAbout George Frideric Handel, man-British Baroque cAbout Jane Austen, estimate o|123
3||20110825185927570|119.235.7.103|Firefox|uz|About Rupert Murdoch, w York in 1974 to expand into the About Oscar Wilde, bine them with larger social themeAbout Tina Turner, wing her divorce from Ike Turner, About William Faulkner, all County. Fa|200
4||20110825185927570|119.235.7.103|Firefox|uz|About Rupert Murdoch, to the United Kingdom in 1969, About Genghis Khan,  that his earlier image as an eAbout Ulysses S.|120
5||20110825185927570|119.235.7.103|Firefox|uz|About Rory Gallagher, 1995, was an Irish blues-rock multi-instrumentalist, songwriter, and bandleaAbout Call the Man, ased on June 23, 1997 outside the|151
6||20110825185927570|119.235.7.103|Firefox|uz|About Jawaharlal Nehru, er 1889 – 27 May 196About Gil Kane, ty to depict drug abAbout Dancing on My Own,  and Be Mi|115
7|photo1374389534791.jpg|20110825185927570|119.235.7.103|Firefox|||0
8|photo1374389534792.jpg|20110825185927570|119.235.7.103|Firefox|||0
9|photo1374389534793.jpg|20110825185927570|119.235.7.103|Firefox|||0
10|photo1374389534794.jpg|20110825185927570|119.235.7.103|Firefox|||0
11|photo1374389534795.jpg|20110825185927570|119.235.7.103|Firefox|||0
12|photo1374389534796.jpg|20110825185927570|119.235.7.103|Firefox|||0
13|photo1374389534797.jpg|20110825185927570|119.235.7.103|Firefox|||0
14|photo1374389534798.jpg|20110825185927570|119.235.7.103|Firefox|||0
15|photo1374389534799.jpg|20110825185927570|119.235.7.103|Firefox|||0
16|photo1374389534800.jpg|20110825185927570|119.235.7.103|Firefox|||0
17|photo1374389534801.jpg|20110825185927570|119.235.7.103|Firefox|||0
18|photo1374389534802.jpg|20110825185927570|119.235.7.103|Firefox|||0
19|photo1374389534803.jpg|20110825185927570|119.235.7.103|Firefox|||0
20|photo1374389534804.jpg|20110825185927570|119.235.7.103|Firefox|||0
21|photo1374389534805.jpg|20110825185927570|119.235.7.103|Firefox|||0
22|photo1374389534806.jpg|20110825185927570|119.235.7.103|Firefox|||0
23|photo1374389534807.jpg|20110825185927570|119.235.7.103|Firefox|||0
24|photo1374389534808.jpg|20110825185927570|119.235.7.103|Firefox|||0
25|photo1374389534809.jpg|20110825185927570|119.235.7.103|Firefox|||0
26|photo1374389534810.jpg|20110825185927570|119.235.7.103|Firefox|||0
27|photo1374389534811.jpg|20110825185927570|119.235.7.103|Firefox|||0
28|photo1374389534812.jpg|20110825185927570|119.235.7.103|Firefox|||0
29|photo1374389534813.jpg|20110825185927570|119.235.7.103|Firefox|||0
30|photo1374389534814.jpg|20110825185927570|119.235.7.103|Firefox|||0
31|photo1374389534815.jpg|20110825185927570|119.235.7.103|Firefox|||0
32|photo1374389534816.jpg|20110825185927570|119.235.7.103|Firefox|||0
33|photo1374389534817.jpg|20110825185927570|119.235.7.103|Firefox|||0
34|photo1374389534818.jpg|20110825185927570|119.235.7.103|Firefox|||0
35|photo1374389534819.jpg|20110825185927570|119.235.7.103|Firefox|||0
36|photo1374389534820.jpg|20110825185927570|119.235.7.103|Firefox|||0
37|photo1374389534821.jpg|20110825185927570|119.235.7.103|Firefox|||0
38|photo1374389534822.jpg|20110825185927570|119.235.7.103|Firefox|||0
39|photo1374389534823.jpg|20110825185927570|119.235.7.103|Firefox|||0
40|photo1374389534824.jpg|20110825185927570|119.235.7.103|Firefox|||0
41|photo1374389534825.jpg|20110825185927570|119.235.7.103|Firefox|||0
42|photo824633720938.jpg|20110825185927570|119.235.7.103|Firefox|||0
43|photo824633720939.jpg|20110825185927570|119.235.7.103|Firefox|||0
44|photo824633720940.jpg|20110825185927570|119.235.7.103|Firefox|||0
45|photo824633720941.jpg|20110825185927570|119.235.7.103|Firefox|||0
46|photo824633720942.jpg|20110825185927570|119.235.7.103|Firefox|||0
47|photo824633720943.jpg|20110825185927570|119.235.7.103|Firefox|||0
48|photo824633720944.jpg|20110825185927570|119.235.7.103|Firefox|||0
49|photo962072674418.jpg|20110825185927570|119.235.7.103|Firefox|||0
50|photo962072674419.jpg|20110825185927570|119.235.7.103|Firefox|||0
51|photo687194767476.jpg|20110825185927570|119.235.7.103|Firefox|||0
52|photo687194767477.jpg|20110825185927570|119.235.7.103|Firefox|||0
53|photo687194767478.jpg|20110825185927570|119.235.7.103|Firefox|||0
54|photo687194767479.jpg|20110825185927570|119.235.7.103|Firefox|||0
55|photo687194767480.jpg|20110825185927570|119.235.7.103|Firefox|||0
56|photo687194767481.jpg|20110825185927570|119.235.7.103|Firefox|||0
57|photo687194767482.jpg|20110825185927570|119.235.7.103|Firefox|||0
58|photo687194767483.jpg|20110825185927570|119.235.7.103|Firefox|||0
59|photo687194767484.jpg|20110825185927570|119.235.7.103|Firefox|||0
60|photo687194767485.jpg|20110825185927570|119.235.7.103|Firefox|||0
61|photo687194767486.jpg|20110825185927570|119.235.7.103|Firefox|||0
62|photo687194767487.jpg|20110825185927570|119.235.7.103|Firefox|||0
63|photo687194767488.jpg|20110825185927570|119.235.7.103|Firefox|||0
64|photo687194767489.jpg|20110825185927570|119.235.7.103|Firefox|||0
65|photo687194767490.jpg|20110825185927570|119.235.7.103|Firefox|||0
66|photo687194767491.jpg|20110825185927570|119.235.7.103|Firefox|||0
67|photo1236950581380.jpg|20110825185927570|119.235.7.103|Firefox|||0
68|photo1236950581381.jpg|20110825185927570|119.235.7.103|Firefox|||0
69|photo1236950581382.jpg|20110825185927570|119.235.7.103|Firefox|||0
70|photo1236950581383.jpg|20110825185927570|119.235.7.103|Firefox|||0
71|photo1236950581384.jpg|20110825185927570|119.235.7.103|Firefox|||0
72|photo1236950581385.jpg|20110825185927570|119.235.7.103|Firefox|||0
73|photo1236950581386.jpg|20110825185927570|119.235.7.103|Firefox|||0
74|photo1236950581387.jpg|20110825185927570|119.235.7.103|Firefox|||0
75|photo1236950581388.jpg|20110825185927570|119.235.7.103|Firefox|||0
76|photo1236950581389.jpg|20110825185927570|119.235.7.103|Firefox|||0
77|photo1236950581390.jpg|20110825185927570|119.235.7.103|Firefox|||0
78|photo1236950581391.jpg|20110825185927570|119.235.7.103|Firefox|||0
79|photo1236950581392.jpg|20110825185927570|119.235.7.103|Firefox|||0
80|photo1236950581393.jpg|20110825185927570|119.235.7.103|Firefox|||0
81|photo1236950581394.jpg|20110825185927570|119.235.7.103|Firefox|||0
82|photo1236950581395.jpg|20110825185927570|119.235.7.103|Firefox|||0
83|photo1236950581396.jpg|20110825185927570|119.235.7.103|Firefox|||0
84|photo1236950581397.jpg|20110825185927570|119.235.7.103|Firefox|||0
85|photo1236950581398.jpg|20110825185927570|119.235.7.103|Firefox|||0
86|photo1236950581399.jpg|20110825185927570|119.235.7.103|Firefox|||0
87|photo274877907096.jpg|20110825185927570|119.235.7.103|Firefox|||0
88|photo1236950581401.jpg|20110825185927570|119.235.7.103|Firefox|||0
89|photo1236950581402.jpg|20110825185927570|78.108.40.54|Firefox|||0
90|photo1236950581403.jpg|20110825185927570|119.235.7.103|Firefox|||0
91|photo1236950581404.jpg|20110825185927570|61.1.202.92|Firefox|||0
92|photo1236950581405.jpg|20110825185927570|119.235.7.103|Firefox|||0
93|photo1236950581406.jpg|20110825185927570|119.235.7.103|Firefox|||0
94|photo1236950581407.jpg|20110825185927570|119.235.7.103|Firefox|||0
95|photo1236950581408.jpg|20110825185927570|119.235.7.103|Firefox|||0
96|photo1236950581409.jpg|20110825185927570|119.235.7.103|Firefox|||0
97|photo1236950581410.jpg|20110825185927570|119.235.7.103|Firefox|||0
98|photo1236950581411.jpg|20110825185927570|119.235.7.103|Firefox|||0
99|photo1236950581412.jpg|20110825185927570|119.235.7.103|Firefox|||0
100|photo1236950581413.jpg|20110825185927570|119.235.7.103|Firefox|||0
