:ID(TagClass)|id:LONG|name:STRING|url:STRING
349|349|OfficeHolder|http://dbpedia.org/ontology/OfficeHolder
211|211|Person|http://dbpedia.org/ontology/Person
239|239|Agent|http://dbpedia.org/ontology/Agent
0|0|Thing|http://www.w3.org/2002/07/owl#Thing
98|98|Monarch|http://dbpedia.org/ontology/Monarch
336|336|BritishRoyalty|http://dbpedia.org/ontology/BritishRoyalty
155|155|Royalty|http://dbpedia.org/ontology/Royalty
193|193|Saint|http://dbpedia.org/ontology/Saint
109|109|Cleric|http://dbpedia.org/ontology/Cleric
82|82|Philosopher|http://dbpedia.org/ontology/Philosopher
88|88|Writer|http://dbpedia.org/ontology/Writer
250|250|Artist|http://dbpedia.org/ontology/Artist
57|57|President|http://dbpedia.org/ontology/President
95|95|Politician|http://dbpedia.org/ontology/Politician
94|94|SoccerManager|http://dbpedia.org/ontology/SoccerManager
59|59|TennisPlayer|http://dbpedia.org/ontology/TennisPlayer
149|149|Athlete|http://dbpedia.org/ontology/Athlete
74|74|SoccerPlayer|http://dbpedia.org/ontology/SoccerPlayer
115|115|MusicalArtist|http://dbpedia.org/ontology/MusicalArtist
37|37|FormulaOneRacer|http://dbpedia.org/ontology/FormulaOneRacer
148|148|PrimeMinister|http://dbpedia.org/ontology/PrimeMinister
24|24|Cricketer|http://dbpedia.org/ontology/Cricketer
191|191|GolfPlayer|http://dbpedia.org/ontology/GolfPlayer
96|96|Comedian|http://dbpedia.org/ontology/Comedian
319|319|Cyclist|http://dbpedia.org/ontology/Cyclist
279|279|Scientist|http://dbpedia.org/ontology/Scientist
226|226|Judge|http://dbpedia.org/ontology/Judge
3|3|MilitaryPerson|http://dbpedia.org/ontology/MilitaryPerson
230|230|MartialArtist|http://dbpedia.org/ontology/MartialArtist
97|97|ComicsCreator|http://dbpedia.org/ontology/ComicsCreator
13|13|IceHockeyPlayer|http://dbpedia.org/ontology/IceHockeyPlayer
212|212|Architect|http://dbpedia.org/ontology/Architect
330|330|MemberOfParliament|http://dbpedia.org/ontology/MemberOfParliament
43|43|Wrestler|http://dbpedia.org/ontology/Wrestler
200|200|Actor|http://dbpedia.org/ontology/Actor
354|354|BasketballPlayer|http://dbpedia.org/ontology/BasketballPlayer
141|141|NascarDriver|http://dbpedia.org/ontology/NascarDriver
310|310|BaseballPlayer|http://dbpedia.org/ontology/BaseballPlayer
332|332|ChristianBishop|http://dbpedia.org/ontology/ChristianBishop
355|355|Chancellor|http://dbpedia.org/ontology/Chancellor
219|219|Senator|http://dbpedia.org/ontology/Senator
61|61|Band|http://dbpedia.org/ontology/Band
301|301|Organisation|http://dbpedia.org/ontology/Organisation
72|72|Boxer|http://dbpedia.org/ontology/Boxer
104|104|AmericanFootballPlayer|http://dbpedia.org/ontology/AmericanFootballPlayer
47|47|GridironFootballPlayer|http://dbpedia.org/ontology/GridironFootballPlayer
152|152|SnookerChamp|http://dbpedia.org/ontology/SnookerChamp
112|112|SnookerPlayer|http://dbpedia.org/ontology/SnookerPlayer
347|347|Governor|http://dbpedia.org/ontology/Governor
173|173|Model|http://dbpedia.org/ontology/Model
295|295|FictionalCharacter|http://dbpedia.org/ontology/FictionalCharacter
287|287|Criminal|http://dbpedia.org/ontology/Criminal
167|167|Congressman|http://dbpedia.org/ontology/Congressman
145|145|Film|http://dbpedia.org/ontology/Film
188|188|Work|http://dbpedia.org/ontology/Work
339|339|Astronaut|http://dbpedia.org/ontology/Astronaut
77|77|CollegeCoach|http://dbpedia.org/ontology/CollegeCoach
46|46|AdultActor|http://dbpedia.org/ontology/AdultActor
342|342|Single|http://dbpedia.org/ontology/Single
123|123|MusicalWork|http://dbpedia.org/ontology/MusicalWork
182|182|Album|http://dbpedia.org/ontology/Album
180|180|Song|http://dbpedia.org/ontology/Song
62|62|Country|http://dbpedia.org/ontology/Country
318|318|PopulatedPlace|http://dbpedia.org/ontology/PopulatedPlace
303|303|Place|http://dbpedia.org/ontology/Place
302|302|ComicsCharacter|http://dbpedia.org/ontology/ComicsCharacter
233|233|EurovisionSongContestEntry|http://dbpedia.org/ontology/EurovisionSongContestEntry
41|41|Company|http://dbpedia.org/ontology/Company
243|243|MilitaryUnit|http://dbpedia.org/ontology/MilitaryUnit
242|242|SportsTeamMember|http://dbpedia.org/ontology/SportsTeamMember
67|67|OrganisationMember|http://dbpedia.org/ontology/OrganisationMember
