:START_ID(Person)|:END_ID(Person)|creationDate:STRING
4398046511124|8796093022248|Albuquerque
4398046511105|4398046511113|Anaheim
4398046511105|4398046511146|Anchorage
4398046511105|4398046511147|Arlington
4398046511105|8796093022248|Atlanta
2199023255589|4398046511113|Aurora
8796093022235|8796093022248|Austin
2199023255555|6597069766660|Bakersfield
4398046511109|4398046511113|Baltimore
4398046511109|4398046511133|Boston
4398046511109|4398046511146|Bronx
4398046511109|6597069766660|Brooklyn
8796093022232|8796093022239|Buffalo
8796093022232|10995116277794|Central Contra Costa
2199023255574|4398046511146|Charlotte
2199023255574|4398046511147|Chicago
2199023255574|6597069766660|Chula Vista
2199023255574|8796093022222|Cincinnati
2199023255574|8796093022232|Cleveland
4398046511113|4398046511136|Colorado Springs
4398046511113|4398046511146|Columbus
4398046511113|6597069766656|Corpus Christi
4398046511113|6597069766660|Dallas
4398046511113|8796093022215|Denver
4398046511113|8796093022220|Detroit
4398046511113|8796093022222|East San Gabriel Valley
4398046511113|8796093022232|East Seattle
4398046511113|8796093022238|El Paso
4398046511113|8796093022248|Ewa
4398046511113|8796093022252|Fayette
4398046511113|10995116277809|Fort Wayne
6597069766672|8796093022239|Fort Worth
6597069766692|8796093022232|Fresno
4398046511146|6597069766660|Greensboro
4398046511146|6597069766672|Henderson
4398046511146|6597069766674|Honolulu
4398046511146|8796093022238|Houston
4398046511146|8796093022248|Indianapolis
4398046511146|10995116277794|Jacksonville
6597069766701|10995116277794|Jersey City
4398046511133|4398046511147|Kansas City
4398046511133|6597069766692|Kendale Lakes-Lindgren Acres
4398046511133|8796093022232|Las Vegas
8796093022248|8796093022252|Lexington-Fayette
8796093022248|10995116277794|Lincoln
8796093022248|10995116277809|Long Beach
4398046511112|8796093022252|Los Angeles
2199023255565|4398046511146|Louisville
4398046511123|8796093022248|Manhattan
4398046511147|6597069766660|Memphis
4398046511147|8796093022232|Mesa
4398046511147|10995116277794|Metropolitan Government
4398046511136|6597069766701|Miami
4398046511136|8796093022248|Milwaukee
6597069766656|8796093022232|Minneapolis
41|2199023255589|Nashville-Davidson
41|4398046511133|New Orleans
41|8796093022232|New York
4398046511151|6597069766660|Newark
6597069766660|6597069766672|North Coast
6597069766660|6597069766701|Northeast Jefferson
6597069766660|8796093022232|Northeast Tarrant
6597069766660|8796093022235|Northwest Harris
6597069766660|8796093022239|Oakland
6597069766660|8796093022248|Oklahoma City
6597069766660|8796093022252|Omaha
4398046511106|4398046511113|Orlando
2199023255580|4398046511105|Philadelphia
2199023255580|4398046511146|Phoenix
2199023255580|6597069766660|Pittsburgh
2199023255580|6597069766672|Plano
2199023255580|6597069766674|Portland
2199023255580|8796093022239|Queens
