":ID","position"
"48","STRAIGHT"
"71","STRAIGHT"
"109","STRAIGHT"
"135","STRAIGHT"
"149","STRAIGHT"
"187","FAILURE"
"243","FAILURE"
"269","FAILURE"
"319","FAILURE"
"346","STRAIGHT"
"354","STRAIGHT"
"374","DIVERGING"
"406","FAILURE"
"444","STRAIGHT"
"470","FAILURE"
"490","STRAIGHT"
"549","DIVERGING"
"600","STRAIGHT"
"638","FAILURE"
"689","DIVERGING"
"733","DIVERGING"
"765","FAILURE"
"791","STRAIGHT"
"847","FAILURE"
"855","DIVERGING"
"905","STRAIGHT"
"925","DIVERGING"
"984","DIVERGING"
"1022","DIVERGING"
"1030","FAILURE"
"1074","STRAIGHT"
"1119","STRAIGHT"
"1146","DIVERGING"
"1166","FAILURE"
"1200","FAILURE"
"1238","FAILURE"
"1294","STRAIGHT"
"1345","FAILURE"
"1385","FAILURE"
"1417","DIVERGING"
